English Term;Turkish Term
Protective security policy framework;Koruyucu güvenlik ilkesi çerçevesi
Protocol;Kural
Protocol stacks (osi) ;Protokol yığınları
Proxy server;Vekil sunucu
Pseudo random numerator generator;Varsayımsal rastgele sayı oluşturucu
Public data;Açık veri
Public key;Açık anahtar
Public key cryptography;Açık anahtarlı şifreleme
Public key encryption;Açık anahtar şifrelemesi
Public key forward secrecy;Açık anahtar iletme gizliliği
Public key infrastructure;Açık anahtar altyapısı
Public land mobile networks;Kamusal mobil karasal ağlar
Public network infrastructure;Kamusal ağ altyapısı
Public switched network;Kamusal anahtarlamalı ağ
Public switched telephone network;Genel anahtarlamalı telefon ağı
Public verification key;Açık doğrulama anahtarı
Push to talk handsets;Bas konuş ahizeleri ( Q )
Quantum secure communication;Nicemsel güvenli iletişim
Quantum security;Nicemsel güvenlik
Quantum security coalition;Nicemsel güvenlik ortakyönetimi
Quantum security ecosystem;Nicemsel güvenlik ekosistemi
Quantum security market;Nicemsel güvenlik pazarı
Quantum security principles;Nicemsel güvenlik ilkeleri
Quick access zone;Hızlı erişim bölgesi
Quick scan;Hızlı tarama ( R )
Radiation monitoring;Radyasyon izleme
Radio frequency;Radyo frekansı
Radio frequency transmitter;Radyo frekansı ileticisi
Random number;Rasgele sayı
Random number testing;Rasgele sayı testi
Ransomware;Fidye yazılımı
Real time fog computing application;Gerçek zaman sis bilişim uygulaması
Real time reaction;Gerçek zamanlı tepki
Reclassification;Yeniden sınıflandırma
Reconnaissance;Keşif
Recovery;Kurtarma
Red team;Kırmızı takım
Red team exercise;Kırmızı takım alıştırması
Redundancy;Artıklık
Reflexive access lists;Yansımalı erişim listeleri
Reflexive acls;Yansımalı erişim listeleri
Register;Yazmaç
Registry;Kayıt
Regression analysis;Bağlanım çözümleme
Relative virtual address;Bağıntılı sanal adres
Releasable to;Yayınlanabilir
Releasable to data;Yayınlanabilir veri
Reliable;Güvenilir
Reliable cybersecurity control;Güvenilir siber güvenlik denetimi
Remote access;Uzaktan erişim
Remote access dial in user service;Kullanıcı hizmetinde uzaktan erişim araması
Remote access trojan;Uzaktan erişim truva atı
Remote desktop protocol;Uzak masaüstü kuralı Remote diagnostics / maintenance Uzaktan teşhis / bakım
Remote procedure call;Uzaktan tanılama / bakım
Remote work;Uzaktan çalışma
Removable media;Çıkarılabilir ortam
Replay attacks;Yineleme saldırıları
Representational state transfer;Temsili durum aktarımı
Request for comment;Yorum isteği
Residual risk;Artık risk
Resilience;Dayanıklılık
Resource exhaustion;Kaynak tükenmesi
Response;Yanıt
Response plan;Yanıt planı
Responsibility assignment matrix;Sorumluluk atama matrisi
Restore;Geri yükleme
Reverse address resolution protocol ;Tersine adres çözümleme kuralı
Reverse engineering;Tersine mühendislik
Reverse lookup;Tersine arama
Risk;Risk / çekince
Risk analysis;Risk çözümlemesi
Risk assessment;Risk değerlendirmesi
Risk averse;Riskten kaçınan
Risk based data management;Risk tabanlı veri yönetimi
Risk management;Risk yönetimi
Risk mitigation;Risk azaltma
Risk tool;Risk aracı
Robot gatekeeper;Robot bekçi
Rogueware;Hileli yazılım
Role based access control;Rol tabanlı erişim kontrolü
Root;Kök
Root cause analysis;Kök neden çözümlemesi
Rootkit;Kök korsan yazılımları
Router;Yönlendirici
Routing information protocol;Yönlendirme bilgi kuralı
Routing loop;Yönlendirme döngüsü
Rule set based access control;Kural kümesine dayalı erişim kontrolü ( S )
Safeguarding statement;Koruma bildirimi
Card skimming;Kart kopyalama
Safeguards;Güvenlik önlemleri
Safety;Güvenlik
Safety check;Güvenlik denetimi
Sandbox;Korumalı alan / yalıtılmış ortam
Sandboxing;Tehdit yalıtma
Sanitization;Temizleme
Scalable cybersecurity control;Ölçeklenebilir siber güvenlik denetimi
Scam;Dolandırıcılık
Scanning;Tarama
Scanning attack;Tarama saldırısı
Scareware;Korkutma yazılımı
Scavenging;Kayıt temizleme
Scoping guidance;Kapsam belirleme kılavuzu
Script kiddie;Hazırcı siber saldırgan
Second extended file system;İkinci genişletilmiş dosya sistemi
Secret area;Gizli alan
Secret key symmetric cryptographic algorithm;Gizli anahtar simetrik şifreleme algoritması
Secret key;Gizli anahtar
Secret seed;Gizli tohum
Secure bootstrapping;Güvenli önyükleme
Secure communication protocol;Güvenli iletişim kuralı
Secure communications;Güvenli iletişim
Secure electronic transactions;Güvenli elektronik işlemler
Secure erase;Güvenli silme
Secure file transfer protocol;Güvenli dosya aktarım kuralı
Secure hash algorithm;Güvenli özetlem algoritması
Secure hash standard;Güvenli özetlem standardı
Secure shell;Güvenli kabuk
Secure simple mail transfer protocol ;Güvenli basit posta aktarım kuralı
Secure socket layer;Güvenli yuva katmanı
Secure state;Güvenli durum
Secure subsystem;Güvenli alt sistem Secure/multipurpose internet mail extension Güvenli/çok amaçlı internet posta uzantısı
Secured space;Güvenli alan
Securely provision;Güvenli önlem
Security;Güvenlik
Security advisory;Güvenlik danışmanlığı
Security and privacy management;Güvenlik ve gizlilik yönetimi
Security architecture;Güvenlik mimarisi
Security as a service;Hizmet olarak güvenlik
Security assertion markup language;Güvenlik onayı işaretleme dili
Security assessment;Güvenlik değerlendirmesi
Security assessment report;Güvenlik değerlendirme raporu
Security association;Güvenlik birliği
Security association lifetime;Güvenlik ilişkisi ömrü
Security attack;Güvenlik saldırısı
Security attacks and defenses;Güvenlik saldırıları ve savunması
Security attribute;Güvenlik özniteliği
Security authorization boundary;Güvenlik yetki sınırı
Security automation;Güvenlik özdevinimi
Security awareness training;Güvenlik farkındalığı eğitimi
Security banner;Güvenik ana başlığı
Security bug;Güvenlik hatası
Security categorization;Güvenlik sınıflandırması
Security category;Güvenlik sınıfı
Security concept operations;Güvenlik kavramı işlemleri
Security content automation protocol ;Güvenlik içeriği otomasyon kuralı
Security control;Güvenlik denetimi
Security control assessment;Güvenlik denetim değerlendirmesi
Security control assessor;Güvenlik denetim değerlendiricisi
Security control baseline;Güvenlik denetim temeli
Security control effectiveness;Güvenlik denetiminde etkin olma
Security control enhancements;Güvenlik denetim geliştirme
Security control inheritance;Güvenlik denetimi devralma
Security controls;Güvenlik denetimleri
Security controls baseline;Güvenlik kontrolleri temel
Security critical;Güvenlik açısından önemli
Security documentation;Güvenlik belgeleri
Security domain;Güvenlik alanı
Security engineering;Güvenlik mühendisliği
Security equipment guide;Güvenlik donatı kılavuzu
Security fault analysis;Güvenlik hatası analizi Security features user's guide Güvenlik özellikleri kullanıcı kılavuzu
Security filter;Güvenlik süzgeci
Security flaw;Güvenlik kusuru
Security functions;Güvenlik işlevleri
Security goals;Güvenlik amaçları
Security incident response;Güvenlik olayı yanıtı
Security information and event management ;Güvenlik bilgisi ve olay yönetimi
Security impact analysis;Güvenlik etki analizi
Security incident;Güvenlik olayı
Security information event management tool ;Güvenlik bilgisi olay yönetimi aracı
Security inspection;Güvenlik incelemesi
Security kernel;Güvenlik çekirdeği
Security label;Güvenlik etiketi
Security level;Güvenlik düzeyi
Security management dashboard;Güvenlik yönetimi panosu
Security markings;Güvenlik işaretleri
Security mechanism;Güvenlik düzeneği
Security net control station;Güvenlik ağı denetim istasyonu
Security objective;Güvenlik amacı
Security of information;Bilgi güvenliği
Security operations center;Güvenlik işlemleri merkezi 
Security perimeter;Güvenlik çevresi
Security plan;Güvenlik planı
Security policy;Güvenlik politikası
Security posture;Güvenlik duruşu
Security program management;Güvenlik programı yönetimi
Security range;Güvenlik aralığı
Security relevant change;Güvenlikle ilgili değişiklik
Security relevant event;Güvenlikle ilgili olay
Security relevant information;Güvenlikle ilgili bilgi
Security requirements;Güvenlik gereksinimleri
Security requirements baseline;Güvenlik gereksinimleri temeli
Security requirements traceability matrix;Güvenlik gereksinimleri izlenebilirlik matrisi
Security risk;Güvenlik riski
Security risk appetite;Güvenlik riski iştahı
Security risk management;Güvenlik riski yönetimi
Security safeguards;Güvenlik önlemleri
Security service;Güvenlik hizmeti
Security specification;Güvenlik özelliği
Security strength;Güvenlik gücü
Security tag;Güvenlik etiketi
Security target;Güvenlik hedefi
Security test evaluation;Güvenlik testi değerlendirmesi
Security testing;Güvenlik testi
Security verification;Güvenlik doğrulaması
Security vulnerability;Güvenlik açığı
Security privacy and trust;Güvenlik gizlilik ve güven
Segment;Bölüt / kesim
Self protective;Kendini koruyan
Semantic cyber attack;Anlamsal siber saldırı
Sender policy framework;Gönderen kural çerçevesi
Sensitive data;Hassas veri
Sensitive information;Hassas bilgi
Separation of duties;Görev dağılımı
Server;Sunucu
Server message block;Sunucu ileti bloğu
Service authority;Hizmet yetkilisi
Service provider;Hizmet sağlayıcı
Service set identifier;Hizmet kümesi tanımlayıcısı
Session;Oturum
Session hijacking;Oturum ele geçirme
Session hijacking attack;Oturum ele geçirme saldırısı
Session key;Oturum anahtarı
Shadow password files;Gölge şifre dosyaları
Share;Paylaşmak
Shared;Ortak
Shared facility;Ortak tesis
Shared responsibility model;Paylaşılan sorumluluk modeli
Shell;Kabuk
Sim swapping;Sürdürümcü tanımlama birimini değiştirme
Signals analysis;Sinyal çözümleme
Signature;İmza
Simple integrity property;Basit bütünlük özelliği
Simple mail transfer protocol;Basit posta aktarım kuralı
Simple network management protocol;Basit ağ yönetimi kuralı
Simple security property;Basit güvenlik özelliği
Situational awareness;Durumsal farkındalık
Smartcard;Akıllı kart
Smishing;Kısa mesajla oltalama
Smurf attack;Servis dışı bırakma saldırısı
Sniffer;Yoklayıcı
Sniffing;Yoklama
Social engineering;Sosyal mühendislik
Socket;Yuva
Socket pair;Yuva çifti
Socket secure;Yuva güvenliği
Soft token;Şifre üreten yazılım
Softphone;E-telefon
Software;Yazılım
Software as a service;Hizmet olarak yazılım
Software assurance and security engineering ;Yazılım güvencesi ve güvenlik mühendisliği
Software assurance;Yazılım güvencesi
Software patch;Yazılım yaması
Software pirate;Yazılım korsanı
Solid state drive;Katı durum sürücü
Source port;Kaynak bağlantı noktası
Spam;İstenmeyen
Spam filtering software;İstenmeyen iletileri engelleme yazılımı
Spam;İstenmeyen
Spanning port;Bağlantı noktası aynalama
Spear phishing;Hedefli oltalama
Spear phishing attack;Hedefli oltalama saldırısı
Special publication;Özel yayın
Spillage;Saçılma
Split horizon;Yatay ayırma
Split key;Bölünmüş şifreleme anahtarı
Split tunnelling;Bölünmüş tünelleme
Spoof;Aldatmaca
Spoofing;Kandırıcı ileti
Spoofing attack;Kimlik aldatmaca saldırısı
Spy;Casus
Spy phishing;Casus kimlik avı
Spyware;Casus yazılım
SQL injection;Sql yerleştirme
Stack mashing;Yığın taşırması
Stack smashing;Yığın çökertme
Stack smashing attack;Yığın çökertme saldırısı
Stalking;Tedirgin etme
Standard access control lists;Standart erişim kontrol listeleri
Standard operating environment;Standart çalışma ortamı
Standard operating procedure;Standart işletim kurumu
Standard user;Standart kullanıcı
